2019/5/8 上午 11:31:34	0.458027	1.339596	0.603064	0.653218	0.949048	0.522323	0.528407	3.464662	3.100756	3.666431	2.936315	0.250008	1.354560	1.786382	1.388902	57.910000
2019/5/8 上午 11:31:35	0.457533	1.339924	0.602406	0.653547	0.948555	0.522159	0.528079	3.464498	3.101249	3.666924	2.936315	0.249844	1.354231	1.786710	1.388902	57.910000
2019/5/8 上午 11:31:36	0.457533	1.339924	0.602735	0.653547	0.948390	0.521665	0.528079	3.465649	3.101085	3.666924	2.936808	0.249679	1.353080	1.786382	1.388902	57.910000
2019/5/8 上午 11:31:37	0.457698	1.339102	0.601584	0.653712	0.948390	0.521994	0.528407	3.465649	3.100262	3.667746	2.936808	0.250502	1.352751	1.786710	1.388902	57.910000
2019/5/8 上午 11:31:38	0.457204	1.339596	0.601913	0.651574	0.947732	0.521008	0.528572	3.465813	3.101413	3.666924	2.938453	0.248857	1.352257	1.786382	1.388902	57.920000
2019/5/8 上午 11:31:39	0.457204	1.339924	0.601748	0.653054	0.948061	0.521501	0.527914	3.467129	3.099933	3.668239	2.936973	0.249350	1.351600	1.786546	1.388902	57.920000
2019/5/8 上午 11:31:40	0.452764	1.339924	0.601913	0.653218	0.947239	0.519363	0.527914	3.467129	3.102400	3.667253	2.937795	0.248528	1.352422	1.786217	1.388902	57.920000
2019/5/8 上午 11:31:41	0.456053	1.339431	0.600762	0.652561	0.947568	0.520514	0.528079	3.467951	3.101907	3.667582	2.937631	0.249515	1.351271	1.787368	1.388902	57.920000
2019/5/8 上午 11:31:42	0.456218	1.339267	0.601255	0.651903	0.947075	0.520021	0.528243	3.467622	3.101249	3.668404	2.937302	0.248857	1.351106	1.787533	1.388902	57.920000
2019/5/8 上午 11:31:43	0.451778	1.343213	0.600268	0.654205	0.945595	0.520843	0.530381	3.466636	3.102400	3.667253	2.938453	0.249350	1.352257	1.785395	1.388902	57.920000
2019/5/8 上午 11:31:44	0.456218	1.339760	0.600268	0.653712	0.947239	0.520021	0.527585	3.467787	3.107169	3.665773	2.938453	0.247213	1.351106	1.787697	1.388902	57.920000
2019/5/8 上午 11:31:45	0.455889	1.339760	0.601255	0.651903	0.942799	0.523803	0.525776	3.469267	3.100920	3.668733	2.938453	0.246884	1.352093	1.787204	1.388902	57.920000
2019/5/8 上午 11:31:46	0.455067	1.341404	0.601090	0.652232	0.949048	0.521501	0.526105	3.455947	3.100427	3.663799	2.932862	0.248693	1.354560	1.783915	1.388902	57.920000
2019/5/8 上午 11:31:47	0.457040	1.339760	0.624277	0.659138	0.961874	0.530381	0.525447	3.375536	3.056357	3.622525	2.876623	0.250173	1.407839	1.791150	1.388902	57.920000
2019/5/8 上午 11:31:48	0.466742	1.353244	0.724421	0.678871	1.000354	0.559158	0.526927	3.214220	2.866592	3.543429	2.750991	0.261026	1.591848	1.796577	1.388902	57.920000
2019/5/8 上午 11:31:49	0.484502	1.450758	0.934413	0.712746	1.064650	0.612272	0.525941	2.995020	2.568955	3.439996	2.611545	0.267932	1.851665	1.802990	1.388902	57.920000
2019/5/8 上午 11:31:50	0.515088	1.700708	1.235504	0.756652	1.135689	0.692684	0.527585	2.758719	2.274606	3.314693	2.491010	0.286021	2.106877	1.807594	2.188931	57.950000
2019/5/8 上午 11:31:51	0.556691	2.051625	1.562249	0.802366	1.216923	0.780660	0.531532	2.543302	2.034687	3.183634	2.384288	0.306741	2.331832	1.812692	2.188931	57.950000
